Scenario,Declination,Hour,Sun_Elev,Sun_Azimuth,1Ax_Az_Phi,2Ax_Phi,1Ax_El_Phi,1Ax_El_Tilt
Winter (Sun North),23.45,9,23.68,57.19,57.19,57.19,0,66.32
Winter (Sun North),23.45,12,52.21,18.19,18.19,18.19,0,37.79
Winter (Sun North),23.45,15,41.74,-41.99,-41.99,-41.99,0,48.26
Summer (Sun South),-23.45,9,35.56,110.06,110.06,110.06,180,54.44
Summer (Sun South),-23.45,12,74.58,137.01,137.01,137.01,180,15.42
Summer (Sun South),-23.45,15,56.31,-113.78,-113.78,-113.78,180,33.69
Zenith Pass,-13.12,9,38.81,96.93,96.93,96.93,180,51.19
Zenith Pass,-13.12,12,82.57,95.95,95.95,95.95,180,7.43
Zenith Pass,-13.12,15,53.55,-95.29,-95.29,-95.29,180,36.45
